purchase_date,ingredient,quantity,unit,cost_per_unit,total_cost,expiration_date,shelf_life_days,days_until_expiration,alert_level
2023-10-01,Milk,13.5,liter,96.18,1295.95,2023-10-08,7,-1062.0,Expired
2023-10-01,Fresh Cream,3.0,liter,188.53,569.7,2023-10-11,10,-1059.0,Expired
2023-10-01,Chicken,12.1,kg,313.75,3786.48,2023-10-06,5,-1064.0,Expired
2023-10-01,Bread,7.5,pack,59.29,444.15,2023-10-05,4,-1065.0,Expired
2023-10-01,Chocolate Syrup,12.4,bottle,237.71,2946.71,2023-12-30,90,-979.0,Expired
2023-10-01,Caramel Syrup,13.2,bottle,234.42,3097.44,2023-12-30,90,-979.0,Expired
2023-10-01,Matcha Powder,12.5,kg,993.41,12439.84,2024-03-29,180,-889.0,Expired
2023-10-01,Potatoes,12.8,kg,101.87,1306.01,2023-10-15,14,-1055.0,Expired
2023-10-01,Noodles,10.5,pack,48.56,509.57,2024-09-30,365,-704.0,Expired
2023-10-08,Cheese,9.0,kg,528.29,4742.05,2023-10-29,21,-1041.0,Expired
2023-10-08,Bread,8.6,pack,58.5,505.34,2023-10-12,4,-1058.0,Expired
2023-10-08,Chocolate Syrup,6.2,bottle,241.13,1487.02,2024-01-06,90,-972.0,Expired
2023-10-08,Caramel Syrup,12.1,bottle,238.09,2884.8,2024-01-06,90,-972.0,Expired
2023-10-08,Matcha Powder,7.8,kg,1043.66,8185.21,2024-04-05,180,-882.0,Expired
2023-10-08,Strawberry,3.8,kg,307.16,1156.82,2023-10-13,5,-1057.0,Expired
2023-10-08,Oreo,5.5,pack,166.16,909.56,2024-04-05,180,-882.0,Expired
2023-10-08,Potatoes,12.1,kg,102.04,1236.49,2023-10-22,14,-1048.0,Expired
2023-10-15,Coffee Beans,11.2,kg,906.63,10142.41,2023-12-14,60,-995.0,Expired
2023-10-15,Milk,4.7,liter,98.56,463.24,2023-10-22,7,-1048.0,Expired
2023-10-15,Chicken,6.3,kg,318.42,2013.96,2023-10-20,5,-1050.0,Expired
2023-10-15,Cheese,9.5,kg,503.78,4781.9,2023-11-05,21,-1034.0,Expired
2023-10-15,Bread,6.2,pack,61.03,377.92,2023-10-19,4,-1051.0,Expired
2023-10-15,Chocolate Syrup,7.8,bottle,241.07,1884.43,2024-01-13,90,-965.0,Expired
2023-10-15,Matcha Powder,5.6,kg,1022.16,5725.35,2024-04-12,180,-875.0,Expired
2023-10-15,Strawberry,6.2,kg,304.68,1896.78,2023-10-20,5,-1050.0,Expired
2023-10-15,Potatoes,12.0,kg,103.55,1247.66,2023-10-29,14,-1041.0,Expired
2023-10-15,Noodles,3.6,pack,47.34,172.24,2024-10-14,365,-690.0,Expired
2023-10-22,Milk,13.3,liter,99.39,1320.73,2023-10-29,7,-1041.0,Expired
2023-10-22,Fresh Cream,13.0,liter,194.41,2521.86,2023-11-01,10,-1038.0,Expired
2023-10-22,Chicken,6.3,kg,316.93,1994.53,2023-10-27,5,-1043.0,Expired
2023-10-22,Bread,4.9,pack,60.98,301.06,2023-10-26,4,-1044.0,Expired
2023-10-22,Chocolate Syrup,12.6,bottle,235.34,2966.73,2024-01-20,90,-958.0,Expired
2023-10-22,Caramel Syrup,8.3,bottle,234.73,1959.89,2024-01-20,90,-958.0,Expired
2023-10-22,Matcha Powder,9.2,kg,1008.65,9229.62,2024-04-19,180,-868.0,Expired
2023-10-22,Potatoes,5.8,kg,103.55,595.51,2023-11-05,14,-1034.0,Expired
2023-10-22,Noodles,8.1,pack,48.87,397.29,2024-10-21,365,-683.0,Expired
2023-10-29,Milk,13.3,liter,98.94,1313.93,2023-11-05,7,-1034.0,Expired
2023-10-29,Bread,6.6,pack,60.25,398.93,2023-11-02,4,-1037.0,Expired
2023-10-29,Chocolate Syrup,10.7,bottle,235.01,2513.72,2024-01-27,90,-951.0,Expired
2023-10-29,Matcha Powder,11.1,kg,1049.15,11594.88,2024-04-26,180,-861.0,Expired
2023-10-29,Strawberry,8.0,kg,300.68,2413.97,2023-11-03,5,-1036.0,Expired
2023-10-29,Noodles,8.0,pack,50.07,398.14,2024-10-28,365,-676.0,Expired
2023-11-05,Coffee Beans,10.6,kg,918.38,9736.93,2024-01-04,60,-974.0,Expired
2023-11-05,Fresh Cream,8.4,liter,195.98,1645.44,2023-11-15,10,-1024.0,Expired
2023-11-05,Chicken,7.4,kg,318.49,2350.42,2023-11-10,5,-1029.0,Expired
2023-11-05,Cheese,6.6,kg,526.23,3450.75,2023-11-26,21,-1013.0,Expired
2023-11-05,Bread,6.8,pack,58.26,393.95,2023-11-09,4,-1030.0,Expired
2023-11-05,Caramel Syrup,5.8,bottle,239.63,1385.06,2024-02-03,90,-944.0,Expired
2023-11-05,Strawberry,11.2,kg,304.25,3393.75,2023-11-10,5,-1029.0,Expired
2023-11-05,Oreo,7.4,pack,159.06,1181.36,2024-05-03,180,-854.0,Expired
2023-11-05,Potatoes,9.0,kg,101.4,913.16,2023-11-19,14,-1020.0,Expired
2023-11-05,Noodles,5.5,pack,48.58,267.09,2024-11-04,365,-669.0,Expired
2023-11-12,Cheese,5.6,kg,531.61,2951.28,2023-12-03,21,-1006.0,Expired
2023-11-12,Chocolate Syrup,10.8,bottle,242.38,2613.17,2024-02-10,90,-937.0,Expired
2023-11-12,Caramel Syrup,6.0,bottle,243.27,1471.32,2024-02-10,90,-937.0,Expired
2023-11-12,Strawberry,5.6,kg,296.52,1662.04,2023-11-17,5,-1022.0,Expired
2023-11-12,Oreo,4.0,pack,164.12,648.47,2024-05-10,180,-847.0,Expired
2023-11-12,Potatoes,4.9,kg,105.64,517.19,2023-11-26,14,-1013.0,Expired
2023-11-12,Noodles,12.0,pack,48.85,586.34,2024-11-11,365,-662.0,Expired
2023-11-19,Coffee Beans,11.1,kg,950.25,10570.86,2024-01-18,60,-960.0,Expired
2023-11-19,Milk,11.2,liter,100.65,1125.64,2023-11-26,7,-1013.0,Expired
2023-11-19,Chicken,8.4,kg,335.26,2832.63,2023-11-24,5,-1015.0,Expired
2023-11-19,Bread,9.0,pack,60.07,541.64,2023-11-23,4,-1016.0,Expired
2023-11-19,Chocolate Syrup,11.4,bottle,233.19,2652.43,2024-02-17,90,-930.0,Expired
2023-11-19,Caramel Syrup,3.7,bottle,245.38,919.68,2024-02-17,90,-930.0,Expired
2023-11-19,Strawberry,7.9,kg,299.47,2368.07,2023-11-24,5,-1015.0,Expired
2023-11-19,Oreo,7.3,pack,167.5,1219.31,2024-05-17,180,-840.0,Expired
2023-11-19,Noodles,6.0,pack,49.43,295.82,2024-11-18,365,-655.0,Expired
2023-11-26,Coffee Beans,7.6,kg,953.62,7287.1,2024-01-25,60,-953.0,Expired
2023-11-26,Fresh Cream,12.9,liter,201.26,2599.99,2023-12-06,10,-1003.0,Expired
2023-11-26,Chicken,13.3,kg,337.28,4502.62,2023-12-01,5,-1008.0,Expired
2023-11-26,Bread,7.0,pack,59.93,421.79,2023-11-30,4,-1009.0,Expired
2023-11-26,Chocolate Syrup,10.5,bottle,243.3,2544.3,2024-02-24,90,-923.0,Expired
2023-11-26,Matcha Powder,7.8,kg,1037.04,8089.76,2024-05-24,180,-833.0,Expired
2023-11-26,Oreo,8.6,pack,160.37,1384.36,2024-05-24,180,-833.0,Expired
2023-11-26,Noodles,6.4,pack,49.12,313.53,2024-11-25,365,-648.0,Expired
2023-12-03,Coffee Beans,12.4,kg,939.55,11618.48,2024-02-01,60,-946.0,Expired
2023-12-03,Chicken,13.5,kg,326.0,4406.01,2023-12-08,5,-1001.0,Expired
2023-12-03,Bread,10.7,pack,60.08,641.37,2023-12-07,4,-1002.0,Expired
2023-12-03,Caramel Syrup,9.3,bottle,239.65,2224.46,2024-03-02,90,-916.0,Expired
2023-12-03,Matcha Powder,8.3,kg,1066.53,8816.31,2024-05-31,180,-826.0,Expired
2023-12-03,Strawberry,11.7,kg,309.1,3624.17,2023-12-08,5,-1001.0,Expired
2023-12-03,Potatoes,11.6,kg,103.86,1199.66,2023-12-17,14,-992.0,Expired
2023-12-03,Noodles,9.5,pack,50.64,478.95,2024-12-02,365,-641.0,Expired
2023-12-10,Milk,4.3,liter,97.44,423.23,2023-12-17,7,-992.0,Expired
2023-12-10,Fresh Cream,11.0,liter,195.52,2159.54,2023-12-20,10,-989.0,Expired
2023-12-10,Cheese,6.8,kg,513.9,3495.52,2023-12-31,21,-978.0,Expired
2023-12-10,Bread,6.0,pack,59.84,359.02,2023-12-14,4,-995.0,Expired
2023-12-10,Chocolate Syrup,6.1,bottle,244.46,1493.53,2024-03-09,90,-909.0,Expired
2023-12-10,Matcha Powder,8.9,kg,1015.88,9010.33,2024-06-07,180,-819.0,Expired
2023-12-10,Potatoes,5.9,kg,103.85,610.34,2023-12-24,14,-985.0,Expired
2023-12-10,Noodles,10.6,pack,49.46,524.77,2024-12-09,365,-634.0,Expired
2023-12-17,Coffee Beans,8.4,kg,953.25,7974.93,2024-02-15,60,-932.0,Expired
2023-12-17,Milk,13.5,liter,98.46,1331.63,2023-12-24,7,-985.0,Expired
2023-12-17,Fresh Cream,7.5,liter,194.52,1462.87,2023-12-27,10,-982.0,Expired
2023-12-17,Cheese,5.6,kg,516.48,2895.62,2024-01-07,21,-971.0,Expired
2023-12-17,Bread,11.5,pack,61.09,703.2,2023-12-21,4,-988.0,Expired
2023-12-17,Caramel Syrup,12.7,bottle,237.52,3007.82,2024-03-16,90,-902.0,Expired
2023-12-17,Oreo,4.9,pack,165.78,811.96,2024-06-14,180,-812.0,Expired
2023-12-17,Potatoes,4.7,kg,103.39,489.42,2023-12-31,14,-978.0,Expired
2023-12-17,Noodles,4.5,pack,48.81,221.66,2024-12-16,365,-627.0,Expired
2023-12-24,Coffee Beans,7.2,kg,941.8,6825.1,2024-02-22,60,-925.0,Expired
2023-12-24,Milk,11.4,liter,97.33,1104.87,2023-12-31,7,-978.0,Expired
2023-12-24,Chicken,5.7,kg,337.19,1926.74,2023-12-29,5,-980.0,Expired
2023-12-24,Cheese,13.3,kg,517.2,6870.34,2024-01-14,21,-964.0,Expired
2023-12-24,Bread,4.6,pack,60.75,279.62,2023-12-28,4,-981.0,Expired
2023-12-24,Caramel Syrup,11.5,bottle,236.59,2716.4,2024-03-23,90,-895.0,Expired
2023-12-24,Matcha Powder,7.3,kg,1073.26,7868.65,2024-06-21,180,-805.0,Expired
2023-12-24,Oreo,12.1,pack,169.12,2039.61,2024-06-21,180,-805.0,Expired
2023-12-31,Coffee Beans,12.1,kg,922.53,11162.6,2024-02-29,60,-918.0,Expired
2023-12-31,Milk,12.6,liter,100.15,1264.03,2024-01-07,7,-971.0,Expired
2023-12-31,Fresh Cream,9.0,liter,199.3,1794.4,2024-01-10,10,-968.0,Expired
2023-12-31,Cheese,5.5,kg,541.22,2980.52,2024-01-21,21,-957.0,Expired
2023-12-31,Chocolate Syrup,5.0,bottle,244.37,1214.24,2024-03-30,90,-888.0,Expired
2023-12-31,Caramel Syrup,8.2,bottle,236.22,1926.71,2024-03-30,90,-888.0,Expired
2023-12-31,Matcha Powder,6.4,kg,1038.19,6595.09,2024-06-28,180,-798.0,Expired
2024-01-07,Coffee Beans,7.6,kg,927.89,7033.52,2024-03-07,60,-911.0,Expired
2024-01-07,Milk,6.0,liter,97.1,579.22,2024-01-14,7,-964.0,Expired
2024-01-07,Chicken,4.5,kg,331.56,1476.63,2024-01-12,5,-966.0,Expired
2024-01-07,Cheese,13.6,kg,532.9,7266.24,2024-01-28,21,-950.0,Expired
2024-01-07,Bread,9.5,pack,61.32,584.88,2024-01-11,4,-967.0,Expired
2024-01-07,Caramel Syrup,10.2,bottle,240.09,2460.56,2024-04-06,90,-881.0,Expired
2024-01-07,Strawberry,12.1,kg,318.64,3853.11,2024-01-12,5,-966.0,Expired
2024-01-07,Oreo,10.9,pack,163.55,1775.6,2024-07-05,180,-791.0,Expired
2024-01-07,Noodles,11.8,pack,51.02,601.45,2025-01-06,365,-606.0,Expired
2024-01-14,Coffee Beans,7.8,kg,959.68,7454.0,2024-03-14,60,-904.0,Expired
2024-01-14,Milk,5.3,liter,100.78,532.73,2024-01-21,7,-957.0,Expired
2024-01-14,Fresh Cream,10.5,liter,201.61,2111.48,2024-01-24,10,-954.0,Expired
2024-01-14,Chicken,11.2,kg,328.9,3688.66,2024-01-19,5,-959.0,Expired
2024-01-14,Chocolate Syrup,11.9,bottle,249.6,2967.93,2024-04-13,90,-874.0,Expired
2024-01-14,Caramel Syrup,5.3,bottle,243.71,1286.9,2024-04-13,90,-874.0,Expired
2024-01-14,Matcha Powder,7.7,kg,1025.07,7907.65,2024-07-12,180,-784.0,Expired
2024-01-14,Oreo,12.9,pack,168.37,2166.61,2024-07-12,180,-784.0,Expired
2024-01-14,Potatoes,8.6,kg,108.11,928.91,2024-01-28,14,-950.0,Expired
2024-01-21,Coffee Beans,11.8,kg,956.08,11247.09,2024-03-21,60,-897.0,Expired
2024-01-21,Fresh Cream,6.3,liter,203.24,1275.64,2024-01-31,10,-947.0,Expired
2024-01-21,Chicken,7.4,kg,342.27,2548.89,2024-01-26,5,-952.0,Expired
2024-01-21,Cheese,10.0,kg,531.75,5293.67,2024-02-11,21,-936.0,Expired
2024-01-21,Caramel Syrup,5.9,bottle,243.87,1447.54,2024-04-20,90,-867.0,Expired
2024-01-21,Matcha Powder,8.2,kg,1070.47,8817.27,2024-07-19,180,-777.0,Expired
2024-01-21,Strawberry,8.5,kg,314.2,2682.41,2024-01-26,5,-952.0,Expired
2024-01-21,Oreo,9.4,pack,167.09,1566.33,2024-07-19,180,-777.0,Expired
2024-01-21,Potatoes,8.9,kg,107.92,955.56,2024-02-04,14,-943.0,Expired
2024-01-21,Noodles,6.2,pack,50.36,312.57,2025-01-20,365,-592.0,Expired
2024-01-28,Coffee Beans,7.5,kg,955.44,7157.02,2024-03-28,60,-890.0,Expired
2024-01-28,Milk,12.4,liter,99.13,1226.21,2024-02-04,7,-943.0,Expired
2024-01-28,Fresh Cream,5.0,liter,201.44,1011.04,2024-02-07,10,-940.0,Expired
2024-01-28,Chicken,9.1,kg,336.51,3050.51,2024-02-02,5,-945.0,Expired
2024-01-28,Cheese,9.7,kg,518.39,5012.21,2024-02-18,21,-929.0,Expired
2024-01-28,Bread,10.7,pack,60.65,651.59,2024-02-01,4,-946.0,Expired
2024-01-28,Chocolate Syrup,13.9,bottle,249.31,3465.24,2024-04-27,90,-860.0,Expired
2024-01-28,Caramel Syrup,11.4,bottle,251.35,2867.23,2024-04-27,90,-860.0,Expired
2024-01-28,Matcha Powder,7.4,kg,1069.36,7879.57,2024-07-26,180,-770.0,Expired
2024-01-28,Strawberry,5.4,kg,306.22,1650.3,2024-02-02,5,-945.0,Expired
2024-01-28,Oreo,10.4,pack,162.65,1698.01,2024-07-26,180,-770.0,Expired
2024-02-04,Milk,13.5,liter,97.86,1320.52,2024-02-11,7,-936.0,Expired
2024-02-04,Fresh Cream,7.9,liter,194.77,1533.28,2024-02-14,10,-933.0,Expired
2024-02-04,Cheese,10.8,kg,522.47,5659.28,2024-02-25,21,-922.0,Expired
2024-02-04,Chocolate Syrup,11.6,bottle,247.94,2881.77,2024-05-04,90,-853.0,Expired
2024-02-04,Caramel Syrup,3.1,bottle,252.0,793.76,2024-05-04,90,-853.0,Expired
2024-02-04,Matcha Powder,4.5,kg,1078.26,4882.82,2024-08-02,180,-763.0,Expired
2024-02-04,Strawberry,7.7,kg,308.2,2388.1,2024-02-09,5,-938.0,Expired
2024-02-04,Noodles,12.0,pack,49.15,590.54,2025-02-03,365,-578.0,Expired
2024-02-11,Milk,7.0,liter,101.91,709.46,2024-02-18,7,-929.0,Expired
2024-02-11,Chicken,6.1,kg,328.24,1995.02,2024-02-16,5,-931.0,Expired
2024-02-11,Bread,8.8,pack,61.19,539.94,2024-02-15,4,-932.0,Expired
2024-02-11,Caramel Syrup,8.9,bottle,243.93,2174.26,2024-05-11,90,-846.0,Expired
2024-02-11,Matcha Powder,11.3,kg,1042.43,11730.52,2024-08-09,180,-756.0,Expired
2024-02-11,Strawberry,5.6,kg,308.55,1724.69,2024-02-16,5,-931.0,Expired
2024-02-11,Oreo,10.7,pack,168.23,1801.84,2024-08-09,180,-756.0,Expired
2024-02-11,Potatoes,3.8,kg,105.98,406.43,2024-02-25,14,-922.0,Expired
2024-02-11,Noodles,9.8,pack,50.71,498.08,2025-02-10,365,-571.0,Expired
2024-02-18,Coffee Beans,6.8,kg,930.1,6293.76,2024-04-18,60,-869.0,Expired
2024-02-18,Fresh Cream,8.2,liter,199.28,1632.82,2024-02-28,10,-919.0,Expired
2024-02-18,Cheese,7.4,kg,529.93,3934.85,2024-03-10,21,-908.0,Expired
2024-02-18,Bread,5.0,pack,60.96,304.92,2024-02-22,4,-925.0,Expired
2024-02-18,Chocolate Syrup,4.6,bottle,241.33,1107.31,2024-05-18,90,-839.0,Expired
2024-02-18,Caramel Syrup,8.7,bottle,250.98,2176.36,2024-05-18,90,-839.0,Expired
2024-02-18,Matcha Powder,4.5,kg,1066.58,4829.41,2024-08-16,180,-749.0,Expired
2024-02-18,Strawberry,3.5,kg,309.76,1069.29,2024-02-23,5,-924.0,Expired
2024-02-18,Oreo,4.8,pack,165.04,797.55,2024-08-16,180,-749.0,Expired
2024-02-18,Potatoes,4.5,kg,108.15,485.86,2024-03-03,14,-915.0,Expired
2024-02-18,Noodles,5.7,pack,51.89,298.02,2025-02-17,365,-564.0,Expired
2024-02-25,Coffee Beans,4.2,kg,978.67,4101.49,2024-04-25,60,-862.0,Expired
2024-02-25,Fresh Cream,4.9,liter,204.65,1003.18,2024-03-06,10,-912.0,Expired
2024-02-25,Cheese,8.5,kg,530.73,4536.08,2024-03-17,21,-901.0,Expired
2024-02-25,Bread,5.4,pack,62.81,340.26,2024-02-29,4,-918.0,Expired
2024-02-25,Chocolate Syrup,4.8,bottle,245.31,1174.23,2024-05-25,90,-832.0,Expired
2024-02-25,Caramel Syrup,9.3,bottle,240.1,2232.04,2024-05-25,90,-832.0,Expired
2024-02-25,Strawberry,13.2,kg,317.22,4181.14,2024-03-01,5,-917.0,Expired
2024-02-25,Oreo,4.5,pack,170.13,764.32,2024-08-23,180,-742.0,Expired
2024-03-03,Coffee Beans,6.3,kg,958.82,6022.24,2024-05-02,60,-855.0,Expired
2024-03-03,Fresh Cream,11.8,liter,205.65,2433.72,2024-03-13,10,-905.0,Expired
2024-03-03,Chicken,13.9,kg,329.92,4583.1,2024-03-08,5,-910.0,Expired
2024-03-03,Cheese,11.6,kg,550.39,6387.59,2024-03-24,21,-894.0,Expired
2024-03-03,Chocolate Syrup,3.6,bottle,250.66,905.81,2024-06-01,90,-825.0,Expired
2024-03-03,Matcha Powder,10.8,kg,1061.7,11505.29,2024-08-30,180,-735.0,Expired
2024-03-03,Strawberry,11.1,kg,312.19,3465.56,2024-03-08,5,-910.0,Expired
2024-03-03,Potatoes,10.4,kg,103.82,1080.31,2024-03-17,14,-901.0,Expired
2024-03-03,Noodles,7.1,pack,51.14,362.77,2025-03-03,365,-550.0,Expired
2024-03-10,Coffee Beans,3.3,kg,979.29,3255.77,2024-05-09,60,-848.0,Expired
2024-03-10,Milk,10.3,liter,103.13,1064.99,2024-03-17,7,-901.0,Expired
2024-03-10,Chicken,11.5,kg,331.49,3806.68,2024-03-15,5,-903.0,Expired
2024-03-10,Cheese,8.6,kg,529.53,4575.78,2024-03-31,21,-887.0,Expired
2024-03-10,Chocolate Syrup,6.0,bottle,240.6,1443.37,2024-06-08,90,-818.0,Expired
2024-03-10,Caramel Syrup,8.4,bottle,240.94,2023.29,2024-06-08,90,-818.0,Expired
2024-03-10,Matcha Powder,8.0,kg,1068.99,8581.36,2024-09-06,180,-728.0,Expired
2024-03-10,Strawberry,5.2,kg,319.72,1678.25,2024-03-15,5,-903.0,Expired
2024-03-10,Oreo,6.2,pack,165.05,1026.8,2024-09-06,180,-728.0,Expired
2024-03-10,Potatoes,7.1,kg,110.22,786.91,2024-03-24,14,-894.0,Expired
2024-03-10,Noodles,9.6,pack,51.16,492.25,2025-03-10,365,-543.0,Expired
2024-03-17,Coffee Beans,10.8,kg,951.54,10296.13,2024-05-16,60,-841.0,Expired
2024-03-17,Milk,4.5,liter,103.86,467.69,2024-03-24,7,-894.0,Expired
2024-03-17,Fresh Cream,10.2,liter,201.94,2064.97,2024-03-27,10,-891.0,Expired
2024-03-17,Chicken,10.7,kg,347.42,3708.83,2024-03-22,5,-896.0,Expired
2024-03-17,Cheese,13.1,kg,530.55,6940.27,2024-04-07,21,-880.0,Expired
2024-03-17,Chocolate Syrup,8.2,bottle,242.85,1979.62,2024-06-15,90,-811.0,Expired
2024-03-17,Caramel Syrup,8.4,bottle,249.63,2097.68,2024-06-15,90,-811.0,Expired
2024-03-17,Matcha Powder,8.5,kg,1086.46,9219.14,2024-09-13,180,-721.0,Expired
2024-03-17,Strawberry,11.7,kg,313.7,3659.73,2024-03-22,5,-896.0,Expired
2024-03-17,Oreo,12.8,pack,172.5,2204.27,2024-09-13,180,-721.0,Expired
2024-03-17,Potatoes,4.0,kg,104.57,422.51,2024-03-31,14,-887.0,Expired
2024-03-17,Noodles,8.2,pack,50.91,415.5,2025-03-17,365,-536.0,Expired
2024-03-24,Coffee Beans,9.6,kg,985.21,9424.13,2024-05-23,60,-834.0,Expired
2024-03-24,Milk,10.7,liter,99.37,1062.31,2024-03-31,7,-887.0,Expired
2024-03-24,Fresh Cream,10.3,liter,200.6,2073.55,2024-04-03,10,-884.0,Expired
2024-03-24,Cheese,3.3,kg,527.52,1726.46,2024-04-14,21,-873.0,Expired
2024-03-24,Bread,12.9,pack,61.86,797.8,2024-03-28,4,-890.0,Expired
2024-03-24,Caramel Syrup,9.9,bottle,245.05,2421.9,2024-06-22,90,-804.0,Expired
2024-03-24,Matcha Powder,8.7,kg,1065.77,9235.9,2024-09-20,180,-714.0,Expired
2024-03-24,Strawberry,11.3,kg,321.26,3643.26,2024-03-29,5,-889.0,Expired
2024-03-24,Potatoes,11.9,kg,105.36,1251.42,2024-04-07,14,-880.0,Expired
2024-03-31,Coffee Beans,9.9,kg,938.43,9284.54,2024-05-30,60,-827.0,Expired
2024-03-31,Milk,13.0,liter,99.86,1299.15,2024-04-07,7,-880.0,Expired
2024-03-31,Fresh Cream,12.4,liter,199.62,2472.83,2024-04-10,10,-877.0,Expired
2024-03-31,Chicken,7.5,kg,335.09,2529.89,2024-04-05,5,-882.0,Expired
2024-03-31,Chocolate Syrup,5.8,bottle,254.05,1469.54,2024-06-29,90,-797.0,Expired
2024-03-31,Caramel Syrup,6.1,bottle,253.74,1554.43,2024-06-29,90,-797.0,Expired
2024-03-31,Matcha Powder,8.8,kg,1100.76,9688.79,2024-09-27,180,-707.0,Expired
2024-03-31,Potatoes,10.5,kg,106.91,1124.49,2024-04-14,14,-873.0,Expired
2024-03-31,Noodles,5.6,pack,49.63,279.21,2025-03-31,365,-522.0,Expired
2024-04-07,Milk,6.1,liter,103.89,631.35,2024-04-14,7,-873.0,Expired
2024-04-07,Chicken,12.1,kg,340.92,4135.4,2024-04-12,5,-875.0,Expired
2024-04-07,Chocolate Syrup,9.3,bottle,242.54,2244.01,2024-07-06,90,-790.0,Expired
2024-04-07,Caramel Syrup,12.5,bottle,254.7,3190.01,2024-07-06,90,-790.0,Expired
2024-04-07,Matcha Powder,9.0,kg,1056.92,9536.12,2024-10-04,180,-700.0,Expired
2024-04-07,Oreo,7.1,pack,174.9,1240.77,2024-10-04,180,-700.0,Expired
2024-04-07,Potatoes,5.6,kg,110.66,619.65,2024-04-21,14,-866.0,Expired
2024-04-07,Noodles,9.9,pack,50.27,495.28,2025-04-07,365,-515.0,Expired
2024-04-14,Coffee Beans,4.5,kg,955.07,4269.26,2024-06-13,60,-813.0,Expired
2024-04-14,Milk,8.2,liter,104.78,860.45,2024-04-21,7,-866.0,Expired
2024-04-14,Fresh Cream,6.3,liter,205.56,1294.22,2024-04-24,10,-863.0,Expired
2024-04-14,Cheese,10.6,kg,554.94,5862.94,2024-05-05,21,-852.0,Expired
2024-04-14,Bread,6.4,pack,61.82,394.43,2024-04-18,4,-869.0,Expired
2024-04-14,Chocolate Syrup,11.5,bottle,255.17,2925.62,2024-07-13,90,-783.0,Expired
2024-04-14,Caramel Syrup,12.4,bottle,253.58,3151.13,2024-07-13,90,-783.0,Expired
2024-04-14,Matcha Powder,10.6,kg,1099.92,11668.11,2024-10-11,180,-693.0,Expired
2024-04-14,Strawberry,5.9,kg,317.74,1863.55,2024-04-19,5,-868.0,Expired
2024-04-14,Oreo,7.3,pack,166.58,1215.25,2024-10-11,180,-693.0,Expired
2024-04-14,Potatoes,4.1,kg,108.13,442.76,2024-04-28,14,-859.0,Expired
2024-04-14,Noodles,8.4,pack,52.34,440.51,2025-04-14,365,-508.0,Expired
2024-04-21,Coffee Beans,8.1,kg,980.14,7932.65,2024-06-20,60,-806.0,Expired
2024-04-21,Milk,7.1,liter,103.55,732.1,2024-04-28,7,-859.0,Expired
2024-04-21,Fresh Cream,10.1,liter,199.23,2006.34,2024-05-01,10,-856.0,Expired
2024-04-21,Chicken,11.9,kg,348.5,4138.07,2024-04-26,5,-861.0,Expired
2024-04-21,Cheese,9.0,kg,540.95,4877.66,2024-05-12,21,-845.0,Expired
2024-04-21,Bread,7.0,pack,62.99,441.97,2024-04-25,4,-862.0,Expired
2024-04-21,Chocolate Syrup,8.3,bottle,257.78,2144.56,2024-07-20,90,-776.0,Expired
2024-04-21,Caramel Syrup,6.4,bottle,250.91,1613.42,2024-07-20,90,-776.0,Expired
2024-04-21,Matcha Powder,10.4,kg,1053.28,10916.47,2024-10-18,180,-686.0,Expired
2024-04-21,Strawberry,12.2,kg,321.64,3932.59,2024-04-26,5,-861.0,Expired
2024-04-21,Potatoes,6.6,kg,106.26,698.14,2024-05-05,14,-852.0,Expired
2024-04-21,Noodles,5.2,pack,51.07,264.68,2025-04-21,365,-501.0,Expired
2024-04-28,Coffee Beans,9.9,kg,984.18,9694.39,2024-06-27,60,-799.0,Expired
2024-04-28,Milk,9.0,liter,105.45,949.83,2024-05-05,7,-852.0,Expired
2024-04-28,Fresh Cream,10.2,liter,203.73,2083.44,2024-05-08,10,-849.0,Expired
2024-04-28,Chicken,3.8,kg,345.36,1308.05,2024-05-03,5,-854.0,Expired
2024-04-28,Cheese,8.8,kg,564.23,4971.19,2024-05-19,21,-838.0,Expired
2024-04-28,Bread,10.9,pack,62.15,675.72,2024-05-02,4,-855.0,Expired
2024-04-28,Caramel Syrup,11.1,bottle,258.21,2871.11,2024-07-27,90,-769.0,Expired
2024-04-28,Noodles,9.7,pack,52.06,503.92,2025-04-28,365,-494.0,Expired
2024-05-05,Coffee Beans,6.7,kg,987.14,6581.58,2024-07-04,60,-792.0,Expired
2024-05-05,Milk,8.1,liter,105.81,861.72,2024-05-12,7,-845.0,Expired
2024-05-05,Chicken,10.0,kg,335.11,3356.4,2024-05-10,5,-847.0,Expired
2024-05-05,Bread,8.8,pack,62.07,543.38,2024-05-09,4,-848.0,Expired
2024-05-05,Chocolate Syrup,6.6,bottle,251.65,1669.34,2024-08-03,90,-762.0,Expired
2024-05-05,Caramel Syrup,4.1,bottle,255.15,1052.49,2024-08-03,90,-762.0,Expired
2024-05-05,Strawberry,10.8,kg,329.74,3553.54,2024-05-10,5,-847.0,Expired
2024-05-05,Oreo,7.2,pack,171.75,1230.97,2024-11-01,180,-672.0,Expired
2024-05-05,Potatoes,7.2,kg,110.61,793.76,2024-05-19,14,-838.0,Expired
2024-05-05,Noodles,9.0,pack,51.54,462.78,2025-05-05,365,-487.0,Expired
2024-05-12,Coffee Beans,8.4,kg,973.78,8182.98,2024-07-11,60,-785.0,Expired
2024-05-12,Fresh Cream,12.1,liter,212.03,2567.08,2024-05-22,10,-835.0,Expired
